GBR_ID,GBR_NAME,X_COORD,Y_COORD
16034,Spur Reef,146.0460968,-16.40460777
17024,Peart Reef,146.39112854,-17.48226547
17027,Raaf Shoals,146.54182434,-17.19096756
17028,Publican Shoals (North),146.5458374,-17.26599693
17029A,Mustard Patches (North),146.60868835,-17.26187134
17029B,Mustard Patches (South),146.6104126,-17.28635788
18026,Walker Reef,146.74464417,-18.32501411
18027,Trunk Reef,146.83181763,-18.35411644
18029,Bramble Reef,146.7061615,-18.4081955
18030,Kelso Reef,146.99006653,-18.43645859
18031,Little Kelso Reef,146.99305725,-18.46914101
16035,Onyx Reef,146.06616211,-16.43915176
16036,Nicholas Reef,146.10127258,-16.49350739
16037,Wentworth Reef,145.5234375,-16.51718712
16038,Egmont Reef,145.5365448,-16.5225029
16039A,Alexandra Reefs (No 1),145.49737549,-16.53168678
16039B,Alexandra Reefs (No 2),145.50724792,-16.55913925
16040,Pixie Reef,145.86245728,-16.54697227
16041,Jorgensen Patch,145.95326233,-16.543293
17030,Publican Shoals (South),146.54396057,-17.3102417
17032,Wardle Reef,146.55096436,-17.42048264
17034,Feather Reef,146.37722778,-17.5328598
17035,Nathan Reef,146.51774597,-17.52473259
15059E,U/N Island,145.36286926,-15.77929115
15060,Ottaway Patch,145.42945862,-15.7069149
15061,Stonor Patch,145.43852234,-15.70634937
15062,Delius Patch,145.40498352,-15.70987797
15063,Gubbins Reef,145.395401,-15.70949268
16042,Breaking Patches,145.98020935,-16.58157539
16043A,Oyster Reef,145.93276978,-16.63996506
16044B,Vlasoff Reef,145.99284363,-16.65520287
16045A,Unity Reef (No 1),145.5710144,-16.6575222
16045B,Unity Reef (No 2),145.58137512,-16.65455818
17037,Hall-Thompson Reef,146.45721436,-17.60943413
17038,Surprise Shoal,146.4188385,-17.60771561
17040,Lindquist Reef,146.15814209,-17.65419388
17041,Goudge Bank,146.38218689,-17.66228104
15064,Hope Islands Reef (West),145.43962097,-15.73865223
15065,Hope Islands Reef (East),145.45783997,-15.73295879
16046,Upolu Reef,145.93695068,-16.67423248
16047,Double Island Reef,145.684021,-16.72931671
17042,Adelaide Reef,146.47129822,-17.65380287
17043A,Jessie-Kent Reef,146.17663574,-17.67463112
17043B,Bresnahan Reef,146.16903687,-17.66718864
17043C,Hutchison Reef,146.16906738,-17.67407036
17044,Ellison Reef,146.39360046,-17.72225189
15068,Lake Reef,145.39460754,-15.91630745
15070,Vicki Harriott Reef,145.61799622,-15.50250721
16048,Haycock Reef,145.68785095,-16.73412514
17046,Sisters-Stephens Reef,146.15362549,-17.7495575
17047,Eddy Reef,146.43510437,-17.77425957
17048,King Reefs,146.1231842,-17.77316666
15075A,Ribbon No 2 Reef (No 1),145.79620361,-15.55718899
15075B,Ribbon No 2 Reef (No 2),145.7809906,-15.53843307
15075C,Ribbon No 2 Reef (No 3),145.77827454,-15.57324219
15078,Osterlund Reef,145.53218079,-15.55632114
16049,Green Island Reef,145.99865723,-16.76707268
16051B,Rocky Island Reef,145.89447021,-16.88667107
17051,Beaver Reef,146.4835968,-17.84960938
17053,Stingaree Reefs,146.15113831,-17.95157051
17055,Thorpe (Timana) Reef,146.13597107,-17.97660637
